Sample,Region,Culture_Area,Site_Name,Date_AD,Early_Maize,Eff_Maize,N_GE_5,N519,N_GT_19,P519,P519R5,Comment,DT_Early,DT_Int,e0,e15,R,Men,Women,Boys,Girls,_OBSTAT_,Crude Birth Rate
Win_Ridge,SIN,Sinagua,Winona &,1175,NA,NA,31,15,16,0.484,NA,"McGregor, John C., 1942, Winona & Ridge",NA,NA,NA,NA, .,12,14,0,1,01101    0    0    0,0.08409051592969814
Kechipawan,ZUN,Pueblo,Kechipawan,1470,NA,NA,144.5,40.5,104,0.28,NA,Kintigh in Mills 2000 & PC 3/5/12,NA,NA,NA,NA, .,17,33,0,4,01101    0    0    0,0.053092028949683276
Grewe,HOH,Phoenix,AA:2:2,850,NA,NA,97.167,20.167,77,0.208,NA,Mintrum & Craig 2001,NA,NA,NA,NA, .,4,7,0,0,01101    0    0    0,0.041614061242775155
Horvath,HOH,Phoenix,U:4:115,1250,NA,NA,8,1,7,0.125,NA,Mintrum & Craig 2001,NA,NA,NA,NA, .,1,0,0,0,01101    0    0    0,0.027806757141043963
Palo_Verde,HOH,Phoenix,T:8:68,1000,NA,NA,64.667,16.667,48,0.258,NA,Hackbarth & Marshall 2007,NA,NA,NA,NA, .,11,3,0,0,01101    0    0    0,0.04962347033411291
SCFAP,HOH,Phoenix,3 sites,1325,NA,NA,51,10,41,0.196,NA,"Yeats (1993), Kaler (1993), Hackbarth (199)",NA,NA,NA,NA, .,4,13,0,0,01101    0    0    0,0.0396620032684791
Elden,SIN,Sinagua,Elden Pueb,1210,NA,NA,68,15.4,52.6,0.226,NA,Rebecca Hill ASU MA thesis 1998:21,NA,NA,NA,NA, .,21.8,29.2,3.2,6.8,01101    0    0    0,0.04451937089728723
Taos_Val,NRG,Pueblo,Vald & Ta,1162.5,NA,NA,66,17,49,0.258,NA,Whitley SMU diss 2009:153 2 sites,NA,NA,22.95,14.79, .,28,36,0,0,01101    0    0    0,0.04962347033411291
Pot_Creek,NRG,Pueblo,Pot Creek,1275,NA,NA,39,8,31,0.205,NA,Whitley SMU diss 2009:153 just Pot Creek Pueblo,NA,NA,24.47,13.97, .,0,7,0,2,01101    0    0    0,0.04112722829055891
U:13:9,HOH,Phoenix,Area B,1200,NA,NA,9,7,2,0.778,NA,Alfred Johnson Am Antiq 1964,NA,NA,NA,NA, .,0,0,0,0,01101    0    0    0,0.12636585339797682
Snaketown,HOH,Phoenix,U:13:1,1000,NA,NA,68.91,65.75,3.16,0.954,NA,Bennett 1964 & Birkby 1964 & Haury 1937,NA,NA,NA,NA, .,12.25,10,1.75,0,01101    0    0    0,0.15079097650009804
Tijer_E,MRG,Pueblo,Tijeras,1330,NA,NA,22,1,21,0.045,NA,"Williams, H. S., 2005 MA Table 4.5",NA,NA,NA,NA, .,12,9,0,0,01101    0    0    0,0.013433179296337057
Tijer_L,MRG,Pueblo,Tijeras,1410,NA,NA,12,1,11,0.083,NA,"Williams, H. S., 2005 MA Table 4.5",NA,NA,NA,NA, .,4,7,0,0,01101    0    0    0,0.020454561467937424
Hotts_Hawk,HOH,Phoenix,AA:6:31,1400,NA,NA,4,1,3,0.25,NA,Yeatts 1993 in Hackbarth et al. 1993,NA,NA,NA,NA, .,NA,NA,NA,NA,01101    0    0    0,0.048354280908120856
Rect&Gec,HOH,Phoenix,2 sites,1250,NA,NA,47,9,38,0.19,NA,Hackbarth 1993 in Hackbarth et al 1993,NA,NA,NA,NA, .,NA,NA,NA,NA,01101    0    0    0,0.0386811144296562
Sundown,SIN,Prescott,NA16385,1150,NA,NA,20,10,10,0.5,NA,Merbs in Barth et al 1999,NA,NA,NA,NA, .,5,5,0,0,01101    0    0    0,0.08645199776578104
N:4:110,SIN,S Sinagua,Grey Fox Ridge,1000,NA,NA,22,1,21,0.045,NA,Spurr in Deats et al 2011,NA,NA,NA,NA, .,6,3,0,0,01101    0    0    0,0.013433179296337057
Paa-ko,MRG,Galisteo,Paa-ko,1375,NA,NA,86.105,30.105,56,0.35,NA,"Tyson, Shannon MA thesis 1992",NA,NA,NA,NA, .,17,6,0,0,01101    0    0    0,0.0639419798860145
LA2506,SJB,Pueblo,LA2506,560,NA,NA,4,1.667,2.333,0.417,NA,Kearns 1996 in Flores & Kearns Vol X S Chuska,NA,NA,NA,NA, .,1,1.333,0,0.667,01101    0    0    0,0.07410507794599908
BMIII,SJB,Pueblo,EPNG Comp,610,NA,NA,7,1,6,0.143,NA,LA2507+11610+80422+80425 Kearns 1996 S Chuska,NA,NA,NA,NA, .,1,3,0,0,01101    0    0    0,0.030869362790968198
LBMIII,SJB,Pueblo,EPNG Comp,700,NA,NA,11,4.5,6.5,0.409,NA,LA2501+80407+80417 Kearns 1996 S Chuska,NA,NA,NA,NA, .,1,4.5,0,1.5,01101    0    0    0,0.07290154350835998
PIISCHU,SJB,Pueblo,EPNG Comp,1060,NA,NA,14,2.733,11.267,0.195,NA,LA80377+80440 Kearns 1996 S Chuska,NA,NA,NA,NA, .,2,0,0,0,01101    0    0    0,0.0394987522961963
LA80934,SJB,Pueblo,LA80934,1000,NA,NA,8,1.2,6.8,0.15,NA,Kearns 1996 in Flores & Kearns Vol X S Chuska,NA,NA,NA,NA, .,5,2.2,0,0.8,01101    0    0    0,0.032048732701860067
FinchCE,HOH,Phoenix,Finch Camp,1,NA,NA,8,1,7,0.125,NA,Lincoln-Babb 2012 in Wegener et al Vol 4,NA,NA,NA,NA, .,5,2,0,0,01101    0    0    0,0.027806757141043963
FinchCL,HOH,Phoenix,Finch Camp,250,NA,NA,3,0,3,0,NA,Lincoln-Babb et al. in Wegener et al. Vol 4,NA,NA,NA,NA, .,1,2,0,0,01101    0    0    0,0.00375
Woodchuck,KAY,Pueblo,Woodchuck,-50,NA,NA,13,2,11,0.154,NA,Lockett & Hargrave 1953 MNA Bulletin 26 Tsegi,NA,NA,NA,NA, .,4,6,0,1,01101    0    0    0,0.03271994467380899
RB_PI,NSJ,Pueblo,Ridges Basin,790,NA,NA,201,NA,NA,NA,NA,"Perry, Stodder, & Bolong 2010:73",NA,NA,22.13,22.59, .,NA,NA,NA,NA,01101    0    0    0,NA
BM_Comp,KAY,Pueblo,Black Mesa,975,NA,NA,165,NA,NA,NA,NA,Martin et al. 1991:50,NA,NA,25.14,25.83, .,NA,NA,NA,NA,01101    0    0    0,NA
Totah_Comp,SJB,Pueblo,Totah Composite,1150,NA,NA,50,NA,NA,NA,NA,"Martin et al. 2001:62, 64",NA,NA,24.5,19.8, .,NA,NA,NA,NA,01101    0    0    0,NA
NAN_Ranch,MOG,Mogollon,NAN Ranch,1045,NA,NA,121,NA,NA,NA,NA,Shafer 2003:164 in Perry et al. 2010 Table 4.4,NA,NA,18.19,22.46, .,NA,NA,NA,NA,01101    0    0    0,NA
Turkey_Creek,MOG,Mogollon,Turkey Creek,1200,NA,NA,129,NA,NA,NA,NA,Berry 1983: Table 66,NA,NA,19.6,NA, .,79,63,0,0,01101    0    0    0,NA
P_of_Pines,MOG,Mogollon,Point of Pines,1340,NA,NA,304.42,NA,NA,NA,NA,Bennett 1973; Berry 1983,NA,NA,21,NA, .,NA,NA,NA,NA,01101    0    0    0,NA
Taos_Valley,NRG,Pueblo,Valdez & Talps Phase,1200,NA,NA,82,NA,NA,NA,NA,Whitely 2009,NA,NA,23.06,18.45, .,NA,NA,NA,NA,01101    0    0    0,NA
Arroyo_H,MRG,Pueblo,Arroyo Hondo,1360,NA,NA,62,NA,NA,NA,NA,Palkovich 1980:33; Perry et al. 2010 Table 4.4,NA,NA,16.23,18.99, .,NA,NA,NA,NA,01101    0    0    0,NA
San_Cristobal,MRG,Pueblo,San Cristobal,1525,NA,NA,159,NA,NA,NA,NA,"Stodder 1990 & NAGPRA forms, AMNH",NA,NA,18.65,18.23, .,NA,NA,NA,NA,01101    0    0    0,NA
Hawikku,SJB,Pueblo,Hawikku,1540,NA,NA,142,NA,NA,NA,NA,Stodder 1990,NA,NA,17.09,16.01, .,NA,NA,NA,NA,01101    0    0    0,NA
RPMS_RP,TON,Tonto,2 sites,1300,NA,NA,146,NA,NA,NA,NA,U:8:24 & U:8:450;Ravesloot & Regan 2000,NA,NA,25.39,23.38, .,NA,NA,NA,NA,01101    0    0    0,NA
RPMS_GP,TON,Tonto,U:8:24,1400,NA,NA,139,NA,NA,NA,NA,Ravesloot & Regan 2000: Table 3.5,NA,NA,17.28,26.03, .,NA,NA,NA,NA,01101    0    0    0,NA
CasaBuena,HOH,Phoenix,Casa Buena,1250,NA,NA,47.75,5.75,42,0.12,NA,T. Michael Fink 1989 Table 15.7 in Mitchell,NA,NA,30.73,23.09,,12,22,0,0,01101    0    0    0,0.026947723199315467
GrandCanal,HOH,Phoenix,AZT:12:16,1250,NA,NA,99.81,8.1365,91.6705,0.082,NA,DR Michell 1989:637,NA,NA,33.52,20.92, .,44.4,40.25,0.6,1.75,01101    0    0    0,0.020275172811101173
MV1080,NSJ,Pueblo,composite,1080,NA,NA,40.21,11.75,28.46,0.292,NA,2 Raven + MV866 + Big Juniper Martin PC,NA,NA,27.299,19.782, .,6.333,13,1.667,0,01101    0    0    0,0.054971298033240135
MV1260,NSJ,Pueblo,composite,1260,NA,NA,71.07,21.21,49.86,0.298,NA,Badger + Mug + Long Martin PC 9-24-12,NA,NA,19.078,19.205, .,26,12.333,0,0.667,01101    0    0    0,0.055907750673622525
NANTRAN,MOG,Mogollon,NAN Transitional,955,NA,NA,24,3,21,0.125,NA,Shafer 2003 Table 8.1,NA,NA,NA,NA,,6,7,0,0,01101    0    0    0,0.027806757141043963
NANCLA,MOG,Mogollon,NAN Classic,1075,NA,NA,93,19,74,0.204,NA,Shafer 2003 Table 8.1,NA,NA,NA,NA,,30,29,3,2,01101    0    0    0,0.04096477814102441
LasCapas,HOH,Phoenix,Las Capas,-900,NA,NA,31.04,NA,NA,NA,NA,Vint Forms + McClelland,NA,NA,23.844,20.666,,NA,NA,NA,NA,01101    0    0    0,NA
ALPComp,NSJ,Pueblo,Animas La Plata,790,NA,NA,166.5,NA,NA,NA,NA,"Perry, Stodder, and Bolong 2010: Table 4.4",NA,NA,22.13,22.59,,NA,NA,NA,NA,01101    0    0    0,NA
CarterRanch,MOG,Hay Hollow,Carter Ramch,1165,NA,NA,30,2,28,0.067,NA,Danforth et al. Am Antiq 1994 Table 1,NA,NA,28.729,20.874,,13,12,0,1,01101    0    0    0,0.017553630602872988
Houck,SJB,Pueblo,4 sites,1150,NA,NA,91,24,67,0.264,NA,"Berry 1983: Tables 4 & 66. Puerco area, BMII-PIII",NA,NA,19.6,NA,,36,26,6,10,01101    0    0    0,0.05057253691697483
Howiri,NRG,Chama,Howiri,1410,NA,NA,13,6,7,0.462,NA,Fallon & Wening 1987 (burials + miscellaneous),NA,NA,NA,NA,,0,1,0,0,01101    0    0    0,0.08082945801127883
LA1051,NRG,Santa,Ogapoge,1350,NA,NA,125,26,99,0.208,NA,Akins Table 10.51 in Lentz 2011 Arch Notes 4r10,NA,NA,25.28,20.66,,46.684,52.526,4.316,10.474,01101    0    0    0,0.041614061242775155
Ton1200,TON,Tonto,3 sites,1200,NA,NA,6,1.375,4.625,0.229,NA,"Hall et al 2001:PricSag, CerFlo, Vist d Pu",NA,NA,NA,NA,,1,3,0,0,01101    0    0    0,0.04500107934493158
PenBlaL,NRG,Pueblo,LA 6169,1050,NA,NA,2,1.4,0.6,0.7,NA,Akins (2013),NA,NA,NA,NA,,0.6,0,0.4,0,01101    0    0    0,0.1153535699870411
PenBlaE,NRG,Pueblo,3 sites,700,NA,NA,8,0.4,7.6,0.05,NA,"Akins (2013): LA 265, 6169, 115862",NA,NA,NA,NA,,0,7.6,0,0.4,,0.014385942984859007
NambeED,NRG,Pueblo,Nambe,700,NA,NA,6,2.4,3.6,0.4,NA,"Akins (2013): LA 103919, Early Development",NA,NA,NA,NA,,1,2.6,0,0.4,,0.07154448650274338
PojTesL,NRG,Pueblo,Pojo/Tesu,1050,NA,NA,14,5.6,8.4,0.4,NA,"Akins (2013): Pojoaque/Tesuque, Late Devel",NA,NA,NA,NA,,5,3.4,1,1.6,,0.07154448650274338
GalisLD,MRG,Pueblo,GalisteoB,1200,NA,NA,29,3.4,25.6,0.117,NA,"Akins (2013): Galist Bas, Late Dev/Ear Coa",NA,NA,NA,NA,,11.2,14.4,0.8,1.6,,0.026430432574149648
BaboVil,HOH,Phoeni,Babocamar,1375,NA,NA,95,22,73,0.232,NA,"DiPeso (1974;1948) AZ EE:7:1, cremations",NA,NA,NA,NA,,0,0,0,0,,0.0454820987698506
