"","V1"
"1062",2325
"1063",2255
"1064",2182
"1065",2108
"1066",2033
"1067",1959
"1068",1887
"1069",1817
"1070",1749
"1071",1686
"1072",1626
"1073",1570
"1074",1518
"1075",1471
"1076",1428
"1077",1389
"1078",1354
"1079",1322
"1080",1294
"1081",1269
"1082",1245
"1083",1225
"1084",1206
"1085",1187
"1086",1170
"1087",1153
"1088",1135
"1089",1118
"1090",1101
"1091",1084
"1092",1067
"1093",1050
"1094",1034
"1095",1018
"1096",1004
"1097",992
"1098",982
"1099",973
"1100",968
"1101",966
"1102",968
"1103",974
"1104",984
"1105",999
"1106",1021
"1107",1048
"1108",1081
"1109",1120
"1110",1165
"1111",1216
"1112",1274
"1113",1338
"1114",1408
"1115",1484
"1116",1565
"1117",1652
"1118",1744
"1119",1840
"1120",1938
"1121",2040
"1122",2142
"1123",2244
"1124",2342
"1125",2437
"1126",2526
"1127",2609
"1128",2684
"1129",2752
"1130",2813
"1131",2867
"1132",2913
"1133",2954
"1134",2990
"1135",3021
"1136",3048
"1137",3073
"1138",3096
"1139",3118
"1140",3141
"1141",3162
"1142",3186
"1143",3211
"1144",3237
"1145",3264
"1146",3292
"1147",3319
"1148",3347
"1149",3373
"1150",3396
"1151",3417
"1152",3434
"1153",3446
"1154",3453
"1155",3455
"1156",3450
"1157",3439
"1158",3423
"1159",3400
"1160",3372
"1161",3339
"1162",3303
"1163",3263
"1164",3220
"1165",3175
"1166",3130
"1167",3084
"1168",3038
"1169",2993
"1170",2948
"1171",2904
"1172",2861
"1173",2818
"1174",2776
"1175",2734
"1176",2692
"1177",2652
"1178",2611
"1179",2572
"1180",2534
"1181",2497
"1182",2462
"1183",2428
"1184",2395
"1185",2364
"1186",2334
"1187",2306
"1188",2280
"1189",2256
"1190",2234
"1191",2214
"1192",2197
"1193",2183
"1194",2173
"1195",2165
"1196",2162
"1197",2162
"1198",2166
"1199",2175
"1200",2188
"1201",2204
"1202",2224
"1203",2247
"1204",2272
"1205",2300
"1206",2330
"1207",2361
"1208",2392
"1209",2423
